model,vertical_case,distance_Mpc,inclination_deg,D_sigma,i_sigma,upsilon,q_log10_ML,chi2_data,rms_km_s,prior_D,prior_i,prior_ML,prior_other,prior_total,objective_chi2_plus_priors,NFW_log10_M200,NFW_M200_Msun,NFW_log10_c200,NFW_c200,obs_velocity_factor_from_i73,MOND_a0_m_s2,minimum_gN_km2_s2_kpc,Kcrit_km_s_minus2,principal_mode_residual,principal_mode_min,K_treatment
NFW,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,82.90237857159299,8.237369958089548,4.000000000000002,4.0,0.25,0.0,8.250000000000002,91.15237857159299,11.570058430790912,371585219503.7956,1.20471083481395,16.021782612064193,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,2876.3963140152946,15.658761872009874,4.000000000000002,4.0,0.25,0.0,8.250000000000002,2884.6463140152946,,,,,1.038891595602483,1.2e-10,82.34343126124594,,,,
TG_edge_limit,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.673211072581178,0.05,15535.049628178976,38.321764072162054,4.000000000000002,4.0,0.25,0.0,8.250000000000002,15543.299628178976,,,,,1.038891595602483,,,7.250667726458228e-05,7.9090475787624e-12,0.027350520707595243,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,75.00487145308492,7.799853503794568,4.000000000000002,4.0,1.0,0.0,9.000000000000002,84.00487145308492,11.57876486228134,379109670093.75226,1.176928431637286,15.028942803596081,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,1805.5020221020472,12.344423812780207,4.000000000000002,4.0,1.0,0.0,9.000000000000002,1814.5020221020472,,,,,1.038891595602483,1.2e-10,87.8144329207438,,,,
TG_edge_limit,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.7553552470765004,0.1,11568.8244759941,33.013346181947156,4.000000000000002,4.0,1.0,0.0,9.000000000000002,11577.8244759941,,,,,1.038891595602483,,,6.564683194978455e-05,7.499331263868872e-12,0.026760857289458415,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,74.3948936930154,7.765722012673159,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,83.47241494144562,11.57954798123973,379793896620.2374,1.1746034882375098,14.948702132588842,1.038891595602483,,,,,,
MOND,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,1732.8353903447041,12.090715980593284,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,1741.9129115931344,,,,,1.038891595602483,1.2e-10,88.25698961444445,,,,
TG_edge_limit,gas_mix_hstar0p6,11.0,67.0,-2.0000000000000004,-2.0,0.762,0.10380372095595687,11282.451627593613,32.597204208053434,4.000000000000002,4.0,1.077521248430216,0.0,9.077521248430218,11291.529148842043,,,,,1.038891595602483,,,6.514770641869286e-05,6.2838189762481194e-12,0.02671872320307516,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.4765969408345689,-0.1,100.89323402956452,9.487871134392423,4.000000000000002,1.0,1.0,0.0,6.000000000000002,106.89323402956452,11.531300926020995,339860683130.1645,1.255933820123768,18.027430093010878,1.0176782650088638,,,,,,
