R_kpc,Vobs_km_s,sigmaV_km_s,V_TG_km_s
3.200000000000000067e-01,2.439999999999999858e+01,3.589999999999999858e+01,2.456585255494474040e+01
6.400000000000000133e-01,4.329999999999999716e+01,1.630000000000000071e+01,4.213229670216131950e+01
9.599999999999999645e-01,4.550000000000000000e+01,1.610000000000000142e+01,5.139480435183650542e+01
1.280000000000000027e+00,5.850000000000000000e+01,1.540000000000000036e+01,5.777423826104081428e+01
1.610000000000000098e+00,6.879999999999999716e+01,7.610000000000000320e+00,6.242327136312346170e+01
1.929999999999999938e+00,7.690000000000000568e+01,1.030000000000000071e+01,6.560367529533714048e+01
2.240000000000000213e+00,8.200000000000000000e+01,8.089999999999999858e+00,6.794546777088160638e+01
2.569999999999999840e+00,8.690000000000000568e+01,7.599999999999999645e+00,7.074014865263964680e+01
2.890000000000000124e+00,9.759999999999999432e+01,3.029999999999999805e+00,7.419716218759654680e+01
3.209999999999999964e+00,1.000000000000000000e+02,5.309999999999999609e+00,7.798199844166330763e+01
3.540000000000000036e+00,1.070000000000000000e+02,7.509999999999999787e+00,8.218249666252778241e+01
3.850000000000000089e+00,1.130000000000000000e+02,7.320000000000000284e+00,8.605999968965370783e+01
4.169999999999999929e+00,1.170000000000000000e+02,5.209999999999999964e+00,8.969566879971091566e+01
4.500000000000000000e+00,1.190000000000000000e+02,5.669999999999999929e+00,9.308281998393147205e+01
4.820000000000000284e+00,1.270000000000000000e+02,5.389999999999999680e+00,9.644227655144426592e+01
5.150000000000000355e+00,1.320000000000000000e+02,4.339999999999999858e+00,9.967858876603291662e+01
5.459999999999999964e+00,1.340000000000000000e+02,2.359999999999999876e+00,1.024387304607041926e+02
5.780000000000000249e+00,1.370000000000000000e+02,8.900000000000000133e-01,1.051574488829752880e+02
6.099999999999999645e+00,1.400000000000000000e+02,2.839999999999999858e+00,1.074213047910400292e+02
6.429999999999999716e+00,1.420000000000000000e+02,8.800000000000000044e-01,1.092054627756088649e+02
6.740000000000000213e+00,1.440000000000000000e+02,1.229999999999999982e+00,1.110242993433925989e+02
7.059999999999999609e+00,1.460000000000000000e+02,1.570000000000000062e+00,1.125838267100238568e+02
8.039999999999999147e+00,1.470000000000000000e+02,3.000000000000000000e+00,1.133473744411699329e+02
9.039999999999999147e+00,1.480000000000000000e+02,3.000000000000000000e+00,1.143501772568654502e+02
1.003999999999999915e+01,1.520000000000000000e+02,2.000000000000000000e+00,1.155377736703204476e+02
1.103999999999999915e+01,1.550000000000000000e+02,2.000000000000000000e+00,1.167274243436687016e+02
1.205000000000000071e+01,1.560000000000000000e+02,2.000000000000000000e+00,1.183580577327723233e+02
1.405000000000000071e+01,1.570000000000000000e+02,2.000000000000000000e+00,1.178599454829036119e+02
1.607000000000000028e+01,1.530000000000000000e+02,2.000000000000000000e+00,1.147974050484300363e+02
1.812999999999999901e+01,1.530000000000000000e+02,2.000000000000000000e+00,1.119493885610044686e+02
2.005000000000000071e+01,1.540000000000000000e+02,2.000000000000000000e+00,1.102261792658060955e+02
2.212000000000000099e+01,1.530000000000000000e+02,2.000000000000000000e+00,1.081650801558293296e+02
2.403000000000000114e+01,1.500000000000000000e+02,2.000000000000000000e+00,1.055180783680644367e+02
2.610000000000000142e+01,1.490000000000000000e+02,2.000000000000000000e+00,1.048184986527066371e+02
2.816000000000000014e+01,1.480000000000000000e+02,2.000000000000000000e+00,1.041712532635704633e+02
3.007999999999999829e+01,1.460000000000000000e+02,2.000000000000000000e+00,1.025611855141461035e+02
3.214000000000000057e+01,1.470000000000000000e+02,2.000000000000000000e+00,1.012683296813991234e+02
3.406000000000000227e+01,1.480000000000000000e+02,2.000000000000000000e+00,1.003625321217152901e+02
3.611999999999999744e+01,1.480000000000000000e+02,2.000000000000000000e+00,9.905039109796379648e+01
3.818999999999999773e+01,1.490000000000000000e+02,2.000000000000000000e+00,9.720626039329475532e+01
4.010000000000000142e+01,1.500000000000000000e+02,2.000000000000000000e+00,9.435994718050655194e+01
4.217000000000000171e+01,1.500000000000000000e+02,3.000000000000000000e+00,9.158768505135218163e+01
4.407999999999999829e+01,1.490000000000000000e+02,3.000000000000000000e+00,8.956233140956990724e+01
