R_kpc,Vobs_km_s,sigmaV_km_s,V_TG_km_s
3.200000000000000067e-01,2.439999999999999858e+01,3.589999999999999858e+01,1.926929831961962236e+01
6.400000000000000133e-01,4.329999999999999716e+01,1.630000000000000071e+01,3.290482847534948974e+01
9.599999999999999645e-01,4.550000000000000000e+01,1.610000000000000142e+01,3.991316250310615033e+01
1.280000000000000027e+00,5.850000000000000000e+01,1.540000000000000036e+01,4.463653456523787355e+01
1.610000000000000098e+00,6.879999999999999716e+01,7.610000000000000320e+00,4.797667388631707297e+01
1.929999999999999938e+00,7.690000000000000568e+01,1.030000000000000071e+01,5.016181859045739344e+01
2.240000000000000213e+00,8.200000000000000000e+01,8.089999999999999858e+00,5.170000028809396042e+01
2.569999999999999840e+00,8.690000000000000568e+01,7.599999999999999645e+00,5.361056670248025569e+01
2.890000000000000124e+00,9.759999999999999432e+01,3.029999999999999805e+00,5.609967782975498096e+01
3.209999999999999964e+00,1.000000000000000000e+02,5.309999999999999609e+00,5.888010976638771155e+01
3.540000000000000036e+00,1.070000000000000000e+02,7.509999999999999787e+00,6.201805963173403313e+01
3.850000000000000089e+00,1.130000000000000000e+02,7.320000000000000284e+00,6.493310630509233761e+01
4.169999999999999929e+00,1.170000000000000000e+02,5.209999999999999964e+00,6.767151976856925444e+01
4.500000000000000000e+00,1.190000000000000000e+02,5.669999999999999929e+00,7.021439657258632394e+01
4.820000000000000284e+00,1.270000000000000000e+02,5.389999999999999680e+00,7.273437445562329629e+01
5.150000000000000355e+00,1.320000000000000000e+02,4.339999999999999858e+00,7.514999769096954196e+01
5.459999999999999964e+00,1.340000000000000000e+02,2.359999999999999876e+00,7.719855012489199453e+01
5.780000000000000249e+00,1.370000000000000000e+02,8.900000000000000133e-01,7.921713398820760688e+01
6.099999999999999645e+00,1.400000000000000000e+02,2.839999999999999858e+00,8.087852394466919748e+01
6.429999999999999716e+00,1.420000000000000000e+02,8.800000000000000044e-01,8.215452141656824381e+01
6.740000000000000213e+00,1.440000000000000000e+02,1.229999999999999982e+00,8.347525158740174334e+01
7.059999999999999609e+00,1.460000000000000000e+02,1.570000000000000062e+00,8.458195329098386139e+01
8.039999999999999147e+00,1.470000000000000000e+02,3.000000000000000000e+00,8.472457937691501684e+01
9.039999999999999147e+00,1.480000000000000000e+02,3.000000000000000000e+00,8.526688764345259131e+01
1.003999999999999915e+01,1.520000000000000000e+02,2.000000000000000000e+00,8.611349760998844260e+01
1.103999999999999915e+01,1.550000000000000000e+02,2.000000000000000000e+00,8.701185854783564366e+01
1.205000000000000071e+01,1.560000000000000000e+02,2.000000000000000000e+00,8.841250953121605960e+01
1.405000000000000071e+01,1.570000000000000000e+02,2.000000000000000000e+00,8.822507018968855164e+01
1.607000000000000028e+01,1.530000000000000000e+02,2.000000000000000000e+00,8.552331024341336274e+01
1.812999999999999901e+01,1.530000000000000000e+02,2.000000000000000000e+00,8.311396166724252055e+01
2.005000000000000071e+01,1.540000000000000000e+02,2.000000000000000000e+00,8.212260213378107210e+01
2.212000000000000099e+01,1.530000000000000000e+02,2.000000000000000000e+00,8.073363834658856319e+01
2.403000000000000114e+01,1.500000000000000000e+02,2.000000000000000000e+00,7.841626524451696412e+01
2.610000000000000142e+01,1.490000000000000000e+02,2.000000000000000000e+00,7.873523896658301169e+01
2.816000000000000014e+01,1.480000000000000000e+02,2.000000000000000000e+00,7.899308855833704968e+01
3.007999999999999829e+01,1.460000000000000000e+02,2.000000000000000000e+00,7.782903224315568025e+01
3.214000000000000057e+01,1.470000000000000000e+02,2.000000000000000000e+00,7.709118700119782375e+01
3.406000000000000227e+01,1.480000000000000000e+02,2.000000000000000000e+00,7.673593709867195400e+01
3.611999999999999744e+01,1.480000000000000000e+02,2.000000000000000000e+00,7.585439064492119599e+01
3.818999999999999773e+01,1.490000000000000000e+02,2.000000000000000000e+00,7.423822139202910364e+01
4.010000000000000142e+01,1.500000000000000000e+02,2.000000000000000000e+00,7.120922671480661847e+01
4.217000000000000171e+01,1.500000000000000000e+02,3.000000000000000000e+00,6.829853360222979575e+01
4.407999999999999829e+01,1.490000000000000000e+02,3.000000000000000000e+00,6.628891584304439277e+01
