r_mid_kpc,things_hihe_faceon_Msun_pc2,halogas_hihe_faceon_Msun_pc2,s4g_stars_faceon_Msun_pc2_Upsilon0p6,s4g_stars_smoothed_faceon_Msun_pc2_Upsilon0p6,things_npix,halogas_npix,s4g_npix,s4g_smoothed_npix,things_coverage,halogas_coverage,s4g_coverage
0.25,4.343529190890617,4.01464262753435,377.1487173105107,176.89199319491618,25,3,95,95,1.0374285818011,0.8852724142264995,0.9855571047735294
0.75,3.5974141126763635,3.936416435851366,202.60405845985528,157.53333081478812,70,10,288,288,0.9682666763476934,0.9836360158072217,0.995931390086935
1.25,3.4453169099957393,3.8793805252464733,141.83007544262594,132.15097189369715,126,18,480,480,1.045728010455509,1.0623268970717994,0.9959313900869351
1.75,3.7090572145194862,3.9143615971642376,108.33866179797447,109.64363314212022,162,24,676,676,0.9603624585815896,1.0117399019731421,1.0018595531231667
2.25,4.047191758081862,4.1321980199118595,91.51306271497356,93.73125563420065,220,28,872,872,1.0143746133166311,0.9180602814200737,1.0051529770321845
2.75,4.3856701680162775,4.514848140838079,84.92363707685513,83.60615635753068,260,40,1062,1062,0.9808415682483128,1.0730574717896966,1.0015900911669746
3.25,5.096674904837295,5.064460478369786,79.00330821965129,76.65793120480583,322,42,1250,1250,1.0278523179690897,0.9533702922439224,0.997527433981305
3.75,5.6161025958872655,5.637140068244343,71.94526114055681,70.48254165061037,354,56,1440,1440,0.9793325812202386,1.1016723377040885,0.9959313900869351
4.25,5.830723104485728,6.176381331245937,63.86226935053665,64.02088522349034,414,54,1648,1648,1.0105774890956596,0.9373472621221759,1.0056954233230813
4.75,6.067952251353739,6.293935953776536,57.91963028743566,57.503737277774995,458,64,1834,1834,1.0002995588734818,0.9939900791315084,1.0013915402518854
5.25,6.312333427832881,6.479233954499505,51.254675396012935,51.46237044324936,512,70,2024,2024,1.0117398740612633,0.9836360158072218,0.9998834987777562
5.75,6.445363780409145,6.632340995931582,45.19926177091968,45.517119781875685,550,78,2210,2210,0.9923229912880087,1.0007427291256081,0.9968335018533181
6.25,6.564753343954349,6.778204505955944,38.46739590063438,39.54434350578964,610,86,2428,2428,1.0125302958378735,1.0151123683130527,1.0075505896379493
6.75,6.707125463068772,6.765550518391419,33.856400043648826,33.835196112890635,640,86,2582,2582,0.9836359886706726,0.9399188595491229,0.9920890621930811
7.25,6.717316419114979,6.786872241395528,27.558992645777106,28.897789597583667,694,104,2804,2804,0.9930695665792597,1.0582566790753556,1.0030860696134214
7.75,6.708339211784507,6.733401499687711,23.24943211374975,24.845125533249316,746,100,2962,2962,0.9986086735788654,0.9519058217489242,0.9912462289776551
8.25,6.7327179089008995,6.819754619741103,20.888613509775407,21.714359602682983,792,114,3198,3198,0.9959314385290559,1.0194045982002113,1.0053625585536674
8.75,6.817673791836401,6.815671489517261,18.828998188400504,19.18274053637564,856,122,3370,3370,1.0149015611677048,1.0286022336726948,0.9988954716050509
