R_kpc,Vobs_km_s,sigmaV_km_s,K0_resolved_baryons_U0p6_km_s,K0_resolved_baryons_U0p762_km_s,edge_Upsilon_0.476597_km_s,edge_Upsilon_0.600000_km_s,edge_Upsilon_0.755355_km_s,edge_Upsilon_0.762000_km_s,source_THINGS_gas_map_km_s,source_shorter_stellar_tail_Rd_x0.75_km_s,source_longer_stellar_tail_Rd_x1.25_km_s,finite_0.950_Kcrit_Upsilon_0.762_km_s,finite_0.990_Kcrit_Upsilon_0.762_km_s,finite_0.998_Kcrit_Upsilon_0.762_km_s,coarse_same_domain_edge_Upsilon_0.762_km_s,coarse_larger_domain_edge_Upsilon_0.762_km_s
11.04,155.0,2.0,87.20892368954222,97.3671232963285,104.44010200745942,117.01835104785476,131.187340699757,131.75998605875515,131.71879078956613,132.12297525144336,131.44039364434508,128.36340648053735,131.04962046628077,131.61659455703105,130.7195228255834,130.7197469950318
12.05,156.0,2.0,88.33150852501277,98.38863488094272,107.07272583742505,119.77839759506672,134.11369605684536,134.69345775048515,134.49404430273609,135.15198393080618,134.2964322889802,130.93075573764884,133.90285335709686,134.5337112809164,133.60822968817507,133.60865995873553
14.05,157.0,2.0,86.96205878104924,96.29566658421963,109.69439738328114,122.29151004510182,136.5533729132511,137.13102101957907,136.98679280152277,138.03520125368354,136.3982185268705,132.5355919642905,136.15695817681868,136.93383398157528,135.93439995235624,135.93540893070005
16.07,153.0,2.0,83.07199530430061,91.68999929926349,109.92692988685587,122.39136132126669,136.52423913699917,137.0970263463097,137.01231931649838,137.85525505372155,136.37079152252454,131.60538516138064,135.92299402294051,136.8589133520286,135.92245841081547,135.9243327480066
18.13,153.0,2.0,79.76855356167458,87.7646642457046,110.13588105060829,122.48107529754287,136.49791482252576,137.06632773358518,136.82473355170794,137.39074429809054,136.5952060280923,130.6837170649564,135.68988489174217,136.7866248650009,135.87618286034893,135.8792516199508
20.05,154.0,2.0,78.17281682537215,85.54117427089274,111.10877116378659,123.25843148841827,137.08785343775068,137.64927913828114,137.55200390690155,137.63070218370342,137.43607200148566,130.47941738409392,136.0903411470204,137.33191176566532,136.42849820743618,136.4329652883565
22.12,153.0,2.0,76.21640107160566,83.01551632282695,111.78996422715528,123.7695574700039,137.43287556313697,137.98804764138265,137.85775523653558,137.72349389595624,138.00626150505317,129.96379009287432,136.2282203978417,137.6290836461206,136.80379227997662,136.81012166202535
24.03,150.0,2.0,73.4050995098901,79.83199538998485,111.51667159498784,123.43419341605862,137.03232726856896,137.58494430758134,137.44316442665692,137.18874648264773,137.7627058047794,128.74629880549512,135.6316860022636,137.1858281702074,136.34672683358812,136.3551491237694
26.1,149.0,2.0,73.47890950677856,79.330560546127,113.11394432988857,124.79409606012338,138.16379932303445,138.70790335756996,138.75167141357812,138.24853816040635,139.00105387680628,129.107308256551,136.56761987248026,138.26968831245281,137.44060955770018,137.45158057692268
28.16,148.0,2.0,73.555319977986,78.91677290484658,114.62602558595619,126.0947197451205,139.2596064964947,139.79605772248985,139.66529060873484,139.3223534303543,140.15701114658253,129.43934265017077,137.46732895963376,139.31830385754765,138.5036253413527,138.51752279690436
30.08,146.0,2.0,72.13460564658511,77.19814994367506,114.99825905206028,126.3773861885436,139.452856517954,139.9859085558195,139.87300553986307,139.52071220310143,140.381084742781,128.86845810642632,137.46719880350594,139.46825397982943,138.6533396681964,138.67041291271047
32.14,147.0,2.0,71.22490993934832,75.97664643444463,115.66527709996375,126.93478426020296,139.90197680218398,140.43094081332234,140.25245335696695,139.98872564816597,140.83924583923374,128.5302181670425,137.7127718674027,139.8712047150324,139.08086946882932,139.10173698875928
34.06,148.0,2.0,70.7828675834511,75.25891680258273,116.46120193998992,127.62168318277173,140.48175905383863,141.0066939582543,140.75944594947256,140.5909470720528,141.41283837603956,128.39842483835977,138.105008626036,140.4080717485256,139.6451178962881,139.6698870788292
36.12,148.0,2.0,69.78888293300912,74.03612833955577,116.93546091596197,128.0199407120325,140.8045073357526,141.32658395329207,141.0847541749746,140.9387403313804,141.72209771788076,127.93860614099744,138.22104807595724,140.6846679819794,139.95105337234952,139.98050372913778
38.19,149.0,2.0,68.0088789665593,72.10037833443576,116.88414132906577,127.94412025506175,140.70284561719524,141.22391001244574,140.98996032675058,140.86110956499346,141.60467098295038,127.01774884803042,137.90345864454127,140.53627376570523,139.84605423537909,139.8807875712343
40.1,150.0,2.0,64.6844130038866,68.75070122069761,115.81874017083749,126.9492392897123,139.77345904976696,140.29689871599956,140.07984488290745,139.95274499806692,140.66396636112307,125.25136293307234,136.75770947156676,139.56277292974227,138.92706701806705,138.96735385284072
42.17,150.0,3.0,61.51802611469357,65.5550588296294,114.8420583475861,126.0386799471461,138.92392977727133,139.44957612923827,139.24687943622234,139.12335921225716,139.80059092879551,123.52739508779209,135.67818409349047,138.66589646503863,138.12679031827548,138.17360944943437
44.08,149.0,3.0,59.36302009831104,63.34444881736888,114.31267957500296,125.54072011059768,138.45419947992414,138.98084914779795,138.78556564821113,138.6694300572597,139.31662440779678,122.3000774300948,135.00404261214766,138.15309925887172,137.67222873023513,137.72551006042772
