R_kpc,Vobs_km_s,sigmaV_km_s,V_TG_km_s
3.200000000000000067e-01,2.439999999999999858e+01,3.589999999999999858e+01,2.169737753791719115e+01
6.400000000000000133e-01,4.329999999999999716e+01,1.630000000000000071e+01,3.712066837403027364e+01
9.599999999999999645e-01,4.550000000000000000e+01,1.610000000000000142e+01,4.513661473804955904e+01
1.280000000000000027e+00,5.850000000000000000e+01,1.540000000000000036e+01,5.059112491727169925e+01
1.610000000000000098e+00,6.879999999999999716e+01,7.610000000000000320e+00,5.450107014496619229e+01
1.929999999999999938e+00,7.690000000000000568e+01,1.030000000000000071e+01,5.711239833863586313e+01
2.240000000000000213e+00,8.200000000000000000e+01,8.089999999999999858e+00,5.899017957504292298e+01
2.569999999999999840e+00,8.690000000000000568e+01,7.599999999999999645e+00,6.127861071315167862e+01
2.890000000000000124e+00,9.759999999999999432e+01,3.029999999999999805e+00,6.418814210398974751e+01
3.209999999999999964e+00,1.000000000000000000e+02,5.309999999999999609e+00,6.740656609879506789e+01
3.540000000000000036e+00,1.070000000000000000e+02,7.509999999999999787e+00,7.100857653222702481e+01
3.850000000000000089e+00,1.130000000000000000e+02,7.320000000000000284e+00,7.434179356464244393e+01
4.169999999999999929e+00,1.170000000000000000e+02,5.209999999999999964e+00,7.746466912994353038e+01
4.500000000000000000e+00,1.190000000000000000e+02,5.669999999999999929e+00,8.036512979051251193e+01
4.820000000000000284e+00,1.270000000000000000e+02,5.389999999999999680e+00,8.324294777789472732e+01
5.150000000000000355e+00,1.320000000000000000e+02,4.339999999999999858e+00,8.600604628297820398e+01
5.459999999999999964e+00,1.340000000000000000e+02,2.359999999999999876e+00,8.835223507004847932e+01
5.780000000000000249e+00,1.370000000000000000e+02,8.900000000000000133e-01,9.066200300017280256e+01
6.099999999999999645e+00,1.400000000000000000e+02,2.839999999999999858e+00,9.256763424697288656e+01
6.429999999999999716e+00,1.420000000000000000e+02,8.800000000000000044e-01,9.404099071892321149e+01
6.740000000000000213e+00,1.440000000000000000e+02,1.229999999999999982e+00,9.555874246987710308e+01
7.059999999999999609e+00,1.460000000000000000e+02,1.570000000000000062e+00,9.683972209678252341e+01
8.039999999999999147e+00,1.470000000000000000e+02,3.000000000000000000e+00,9.714903935094335452e+01
9.039999999999999147e+00,1.480000000000000000e+02,3.000000000000000000e+00,9.779460717876399656e+01
1.003999999999999915e+01,1.520000000000000000e+02,2.000000000000000000e+00,9.869898342705481298e+01
1.103999999999999915e+01,1.550000000000000000e+02,2.000000000000000000e+00,9.964205241901599663e+01
1.205000000000000071e+01,1.560000000000000000e+02,2.000000000000000000e+00,1.010666031171125354e+02
1.405000000000000071e+01,1.570000000000000000e+02,2.000000000000000000e+00,1.005551560429037039e+02
1.607000000000000028e+01,1.530000000000000000e+02,2.000000000000000000e+00,9.753236076771024443e+01
1.812999999999999901e+01,1.530000000000000000e+02,2.000000000000000000e+00,9.479124653537986944e+01
2.005000000000000071e+01,1.540000000000000000e+02,2.000000000000000000e+00,9.335683428515991977e+01
2.212000000000000099e+01,1.530000000000000000e+02,2.000000000000000000e+00,9.156429958407025538e+01
2.403000000000000114e+01,1.500000000000000000e+02,2.000000000000000000e+00,8.902429549626289429e+01
2.610000000000000142e+01,1.490000000000000000e+02,2.000000000000000000e+00,8.881025559130635827e+01
2.816000000000000014e+01,1.480000000000000000e+02,2.000000000000000000e+00,8.860263464011943313e+01
3.007999999999999829e+01,1.460000000000000000e+02,2.000000000000000000e+00,8.719382902025205340e+01
3.214000000000000057e+01,1.470000000000000000e+02,2.000000000000000000e+00,8.616792025274745015e+01
3.406000000000000227e+01,1.480000000000000000e+02,2.000000000000000000e+00,8.553677801132231195e+01
3.611999999999999744e+01,1.480000000000000000e+02,2.000000000000000000e+00,8.443582386050572097e+01
3.818999999999999773e+01,1.490000000000000000e+02,2.000000000000000000e+00,8.269331113577371184e+01
4.010000000000000142e+01,1.500000000000000000e+02,2.000000000000000000e+00,7.972209217119898028e+01
4.217000000000000171e+01,1.500000000000000000e+02,3.000000000000000000e+00,7.685278489687937054e+01
4.407999999999999829e+01,1.490000000000000000e+02,3.000000000000000000e+00,7.482201437750978812e+01
